ID_CHARGEST,DISTRICT_ID,DISTRICT,WIKIDATA_DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,WIKIDATA_NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR,WIKIDATA_OPERATOR
49,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CARRETERA DE VILLAVERDE A VALLECAS,278,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,Repsol,https://wikidata.org/wiki/Q174747
50,21,Barajas,https://wikidata.org/wiki/Q807230,215,Corralejos,https://wikidata.org/wiki/Q10260772,AVENIDA DEL CONSEJO DE EUROPA,2,Estación de servicio,350 kW conector CC (CCS),4,Spanish Petroleum Company,https://wikidata.org/wiki/Q608819
51,21,Barajas,https://wikidata.org/wiki/Q807230,215,Corralejos,https://wikidata.org/wiki/Q10260772,AVENIDA DEL PARTENÓN,5,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,Iberdrola,https://wikidata.org/wiki/Q1437502
52,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVENIDA LEGAZPI,S/N,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
53,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVENIDA LEGAZPI,S/N,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
54,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CALLE 3,,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
55,3,Retiro,https://wikidata.org/wiki/Q2002296,34,Ibiza,https://wikidata.org/wiki/Q15249910,CALLE IBIZA,1,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
56,3,Retiro,https://wikidata.org/wiki/Q2002296,35,Jerónimos,https://wikidata.org/wiki/Q10306766,PLAZA DE LA LEALTAD,S/N,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
57,11,Carabanchel,https://wikidata.org/wiki/Q1001991,116,Buenavista,https://wikidata.org/wiki/Q953929,CALLE HILARIO HERRANZ ESTABLOS,20,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Endesa,https://wikidata.org/wiki/Q1275336
58,9,Moncloa-Aravaca,https://wikidata.org/wiki/Q2017682,92,Argüelles,https://wikidata.org/wiki/Q64874,CALLE MARQUÉS DE URQUIJO,27,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Endesa,https://wikidata.org/wiki/Q1275336
