Número,Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion,Nº Finca
33,"440340,26","4474220,99",01  CENTRO,01-06 SOL,21,-3.7032096,40.4164757,CALLE DE LAS CARRETAS,3
34,"440313,43","4473992,08",01  CENTRO,01-03 CORTES,24,-3.7035044,40.4144117,PLAZA DE JACINTO BENAVENTE,S/N
35,"439730,93","4473970,93",01  CENTRO,01-01 PALACIO,24,-3.7103676,40.4141792,PLAZA DEL CORDON,1
36,"439614,82","4474265,33",01  CENTRO,01-01 PALACIO,24,-3.711764,40.4168229,PLAZA DE RAMALES,5
37,"439409,3","4473605,14",01  CENTRO,01-01 PALACIO,24,-3.7141234,40.4108606,PLAZA DE SAN FRANCISCO,5
38,439637,"4473651,64",01  CENTRO,01-01 PALACIO,24,-3.7114443,40.4112961,CARRERA DE SAN FRANCISCO,1
39,439844,"4473646,66",01  CENTRO,01-01 PALACIO,27,-3.7090043,40.4112662,PLAZA DE LA CEBADA,16
40,"440207,51","4473923,52",01  CENTRO,01-02 EMBAJADORES,24,-3.7047463,40.4137865,CALLE DEL CONDE DE ROMANONES,2
41,"440694,54","4473746,65",01  CENTRO,01-02 EMBAJADORES,18,-3.6989898,40.412228,CALLE DE ATOCHA,56
42,"440757,78","4473584,46",01  CENTRO,01-02 EMBAJADORES,24,-3.6982294,40.4107714,CALLE DE SANTA ISABEL,32
43,"440391,04","4473511,6",01  CENTRO,01-02 EMBAJADORES,24,-3.7025446,40.4100889,CALLE DE LAVAPIES,36
44,"440274,63","4473482,26",01  CENTRO,01-02 EMBAJADORES,21,-3.7039138,40.4098162,CALLE DEL MESON DE PAREDES,35
45,"439659,1","4473168,86",01  CENTRO,01-02 EMBAJADORES,21,-3.7111381,40.4069486,GLORIETA DE LA PUERTA DE TOLEDO,1
46,"439998,9","4472999,74",02  ARGANZUELA,02-02 ACACIAS,24,-3.7071178,40.4054496,CALLE DE LA RIBERA DE CURTIDORES,28
47,"440368,37","4472905,07",02  ARGANZUELA,02-02 ACACIAS,24,-3.702755,40.4046233,GLORIETA DE EMBAJADORES,7 B
48,"440424,7","4472996,09",01  CENTRO,01-02 EMBAJADORES,24,-3.7020997,40.4054473,GLORIETA DE EMBAJADORES,2
49,"440667,66","4473061,04",01  CENTRO,01-02 EMBAJADORES,24,-3.6992427,40.4060497,RONDA DE ATOCHA,36
50,"441180,67","4473307,92",01  CENTRO,01-02 EMBAJADORES,24,-3.69322,40.4083102,CALLE DE SANTA ISABEL,57
51,"441148,47","4473243,04",01  CENTRO,01-02 EMBAJADORES,27,-3.6935934,40.4077234,PLAZA DEL EMPERADOR CARLOS V,7
52,"440544,34","4474002,06",01  CENTRO,01-03 CORTES,24,-3.7007838,40.4145181,PLAZA DE SANTA ANA,9
53,"440543,46","4473309,62",01  CENTRO,01-02 EMBAJADORES,24,-3.7007295,40.4082802,CALLE DE VALENCIA,frente 2
54,"440592,35","4475345,44",01  CENTRO,01-04 JUSTICIA,21,-3.7003435,40.4266233,CALLE DE BARCELO,7
55,"440455,56","4475063,26",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7019295,40.4240716,PLAZA DE SAN ILDEFONSO,8
56,"440335,43","4474443,96",01  CENTRO,01-06 SOL,24,-3.7032875,40.418484,PLAZA DEL CARMEN,1
57,"439536,86","4475688,34",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7128181,40.4296363,CALLE DE SANTA CRUZ DE MARCENADO,24
58,"440791,91","4474859,51",01  CENTRO,01-04 JUSTICIA,24,-3.6979458,40.4222601,CALLE DE AUGUSTO FIGUEROA,33
59,"440271,27","4475221,1",01  CENTRO,01-05 UNIVERSIDAD,21,-3.7041167,40.4254802,CALLE DEL ESPIRITU SANTO,30
60,"441616,3","4474541,2",03  RETIRO,03-05 JERÓNIMOS,24,-3.6881994,40.4194508,PLAZA DE LA INDEPENDENCIA,7
61,"442720,29","4474753,26",03  RETIRO,03-04 IBIZA,24,-3.675206,40.4214379,CALLE DE O'DONNELL,30
62,"442956,32","4474735,99",03  RETIRO,03-04 IBIZA,24,-3.6724223,40.4212986,CALLE DE O'DONNELL,48
63,"443103,74","4474356,79",03  RETIRO,03-04 IBIZA,24,-3.6706508,40.4178926,CALLE DE IBIZA,64
65,"441513,53","4474235,07",03  RETIRO,03-05 JERÓNIMOS,24,-3.6893825,40.4166859,CALLE DE ANTONIO MAURA,15
67,"441190,08","4473587,45",01  CENTRO,01-03 CORTES,24,-3.6931349,40.410829,CALLE DE ALMADEN,28
68,"441358,92","4473802,81",03  RETIRO,03-05 JERÓNIMOS,21,-3.6911649,40.412781,CALLE DE ESPALTER,1
69,"441551,54","4473499,36",03  RETIRO,03-05 JERÓNIMOS,27,-3.6888669,40.4100609,CALLE DE ALFONSO XII,54
70,"442494,99","4474064,79",03  RETIRO,03-05 JERÓNIMOS,24,-3.6777994,40.4152203,AVENIDA DE MENENDEZ PELAYO,frente 63
71,"442816,22","4474149,49",03  RETIRO,03-06 NIÑO JESÚS,24,-3.674021,40.4160054,CALLE DEL DOCE DE OCTUBRE,28
72,"443189,11","4474115,08",03  RETIRO,03-06 NIÑO JESÚS,24,-3.669623,40.415721,CALLE DEL DOCTOR ESQUERDO,62
73,"443229,99","4473642,11",03  RETIRO,03-03 ESTRELLA,24,-3.669099,40.411463,PLAZA DE LOS ASTROS,S/N
74,"442595,78","4473679,92",03  RETIRO,03-05 JERÓNIMOS,24,-3.6765768,40.4117601,AVENIDA DE MENENDEZ PELAYO,S/N
75,"442436,91","4473301,34",03  RETIRO,03-05 JERÓNIMOS,24,-3.6784149,40.4083387,AVENIDA DE MENENDEZ PELAYO,S/N
76,"442712,67","4473182,27",03  RETIRO,03-06 NIÑO JESÚS,24,-3.6751544,40.4072851,AVENIDA DEL MEDITERRANEO,19
77,"443083,53","4473073,95",03  RETIRO,03-01 PACÍFICO,22,-3.6707742,40.4063347,PLAZA DEL CONDE DE CASAL,8
78,"442755,86","4472436,57",03  RETIRO,03-02 ADELFAS,24,-3.6745783,40.4005704,CALLE DEL CERRO DE LA PLATA,2
79,"442252,73","4472937,49",03  RETIRO,03-01 PACÍFICO,24,-3.6805524,40.4050482,AVENIDA DE MENENDEZ PELAYO,38
080 a,"441412,24","4473206,43",02  ARGANZUELA,02-07 ATOCHA,24,-3.6904816,40.4074122,AVENIDA DE LA CIUDAD DE BARCELONA,S/N
080 b,"441391,88","4473230,32",02  ARGANZUELA,02-07 ATOCHA,27,-3.6907238,40.407626,AVENIDA DE LA CIUDAD DE BARCELONA,S/N
81,"441288,14","4473447,57",03  RETIRO,03-05 JERÓNIMOS,24,-3.6919663,40.4095758,CALLE DE CLAUDIO MOYANO,S/N
82,"443177,93","4473311,29",03  RETIRO,03-03 ESTRELLA,24,-3.669683,40.4084793,CALLE DE LA LIRA,frente 2
83,"442770,38","4473844,96",03  RETIRO,03-06 NIÑO JESÚS,24,-3.6745339,40.4132589,CALLE DE PIO BAROJA,8 B
84,"442918,27","4472746,05",03  RETIRO,03-02 ADELFAS,24,-3.6726923,40.4033695,CALLE DEL DOCTOR ESQUERDO,191
85,"442319,29","4474723,43",03  RETIRO,03-05 JERÓNIMOS,27,-3.6799299,40.4211415,AVENIDA DE MENENDEZ PELAYO,frente 9
86,"441180,29","4474447,71",01  CENTRO,01-03 CORTES,21,-3.6933298,40.4185779,PASEO DEL PRADO,S/N
87,"442016,68","4475450,66",04  SALAMANCA,04-01 RECOLETOS,24,-3.6835631,40.4276717,CALLE DE AYALA,44
88,"442004,11","4475843,28",04  SALAMANCA,04-06 CASTELLANA,24,-3.6837471,40.4312077,CALLE DE VELAZQUEZ,73
89,"442728,15","4475399,8",04  SALAMANCA,04-02 GOYA,24,-3.6751716,40.4272628,CALLE DE AYALA,102
90,"442000,33","4475163,96",04  SALAMANCA,04-01 RECOLETOS,24,-3.6837297,40.4250878,CALLE DE GOYA,18
090 ampliacion,"442014,61","4475162,88",04  SALAMANCA,04-01 RECOLETOS,6,-3.6835613,40.4250791,CALLE DE GOYA,20
91,"442417,66","4475274,35",04  SALAMANCA,04-02 GOYA,24,-3.6788203,40.4261113,CALLE DE HERMOSILLA,73
92,"441767,83","4475291,85",04  SALAMANCA,04-01 RECOLETOS,24,-3.6864821,40.4262237,CALLE DE CLAUDIO COELLO,45
