tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,same_as_wikidata_municipio,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Establecimiento dependiente de una Administracion Publica,Publica,080,Majadahonda,https://wikidata.org/entity/Q427505,CALLE Joaquin Turina 0 B ,CALLE,Joaquin Turina,0,B,,28222,SEGURIDAD / JUZGADOS ,427057,4477861,,2022-41
Otros,Privada,075,Loeches,https://wikidata.org/entity/Q1646206,CALLE Roa 14  ,CALLE,Roa,14,,,28890,Pol.Ind Prado Concejil ,465019,4472413,24 h,2022-1053
Establecimiento dependiente de una Administracion Publica,Publica,046,Collado Mediano,https://wikidata.org/entity/Q1751903,PLAZA Mayor 6  ,PLAZA,Mayor,6,,,28450,POLICIA LOCAL ,413445,4505220,,2022-1067
Establecimiento publico con aforo igual o superior a 2000 personas,Privada,080,Majadahonda,https://wikidata.org/entity/Q427505,CALLE Cerro del Espino 2  ,CALLE,Cerro del Espino,2,,,28221,CIUDAD DEPORTIVA MADAJADAHONDA-CAMPO1 ,427028,4478917,,2022-1082
Establecimiento publico con aforo igual o superior a 2000 personas,Privada,079,Madrid,https://wikidata.org/entity/Q2807,AVDA WANDA METROPOLITANO-GRADA ALTA VOMITORIO 36 4  ,AVDA,WANDA METROPOLITANO-GRADA ALTA VOMITORIO 36,4,,,28032,,449110,4476374,,2022-1088
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Lerida 44  ,CALLE,Lerida,44,,,28020,SUBIDA ESCALERAS JUNTO EQUIPO DE CORREOS LEXER 2001 S.L.,440618,4478491,,2022-1126
Establecimiento dependiente de una Administracion Publica,Privada,072,Hoyo de Manzanares,https://wikidata.org/entity/Q664769,PLAZA Mayor 7  ,PLAZA,Mayor,7,,,28240,Dispositivo Movil-Coche Policia Local AYUNTAMIENTO HOYO DE MANZANARES,423283,4497284,24horas,2022-1133
Centro de trabajo con mas de 250 trabajadores,Privada,130,San Fernando de Henares,https://wikidata.org/entity/Q842211,AVDA de Castilla 0 BJ ,AVDA,Castilla,0,BJ,,28830,EDIFICIO JAPON - PLANTA BAJA TRANSCOM WORLDWIDE SPAIN SLU,456844,4478185,L A V  DE 9:00 A 18:00,2019-697
Centro de trabajo con mas de 250 trabajadores,Privada,130,San Fernando de Henares,https://wikidata.org/entity/Q842211,AVDA de Castilla 0 1 ,AVDA,Castilla,0,1,,28830,EDIFICIO HUNGRIA - ENFERMERIA TRANSCOM WORLDWIDE SPAIN SLU,456844,4478185,L A V DE 9:00 A 18:00,2019-696
Establecimiento hotelero con mas de 100 plazas,Privada,005,Alcala de Henares,https://wikidata.org/entity/Q46940,CALLE Octavio Paz 25  ,CALLE,Octavio Paz,25,,,28806,RECEPCION AC BASIC LA ALCARRIA SL,468985,4483639,24 HORAS,2018-2738
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24H,2022-383
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24H,2022-384
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24H,2022-385
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 HORAS,2022-572
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-647
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Jorge Juan 6  ,CALLE,Jorge Juan,6,,,28001,AEPD ,441685,4475029,,2022-648
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24H,2022-665
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-746
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-747
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-825
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-757
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-800
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-804
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE del Concejal Gines Melendez 13  ,CALLE,Concejal Gines Melendez,13,,,28022,Lateral Izquierdo de la Sala de Reuniones ,451255,4476937,24H,2022-845
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,AVDA del Doctor Garcia Tapia 232  ,AVDA,Doctor Garcia Tapia,232,,,28030,C.P. AVD.DR GARCIA TAPIA 232 ,447059,4473215,24H,2022-968
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Maudes 26  ,CALLE,Maudes,26,,,28003,Centro Base nº1 de Valoracion y Orientacion de la Discapacidad ,440620,4477399,9:00 H A 14:00 H Y 16:00 H A 19:30 h,2022-1015
Establecimiento publico con aforo igual o superior a 2000 personas,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Portugal 0  ,AVDA,Portugal,0,,,28011,MADRID ARENA - COTA 5 - AVENIDA DE PORTUGAL SN ,438582,4474257,,2022-1020
Establecimiento publico con aforo igual o superior a 2000 personas,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE del Conde Duque 9  ,CALLE,Conde Duque,9,,,28015,"Patio sur, ubicado en la 1° planta. Despacho del director de segu ridad de Madrid Destino",439682,4475344,24 h,2022-1027
