codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2018-3180,Pública,Madrid,CALLE de San Modesto 10  ,28034,"DENTRO DE LA ESTACION DE METRO BEGOÑA, EN EL VESTIBULO BEGOÑA/SAN MODESTO",441865,4481285,
2020-446,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 138 E.M.T.,442158,4481299,
2020-447,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 137 E.M.T.,442158,4481299,
2020-448,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 136 E.M.T.,442158,4481299,
2020-467,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 62 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-480,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 68 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-481,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 69 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-482,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 70 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-483,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 71 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-484,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 72 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-485,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 73 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-486,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 74 EMT DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2018-3071,Pública,Madrid,CALLE de Alcalá 373  ,28027,DENTRO DE ESTACIÓN PUEBLO NUEVO PASILLO ACCESO ANDENES LÍNEA 7,445392,4476266,
2020-428,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 127 E.M.T.,442158,4481299,
2020-429,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 125 E.M.T.,442158,4481299,
2020-430,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 123 E.M.T.,442158,4481299,
2019-299,Pública,"Rozas de Madrid, Las",PASEO Alemanes 31  ,28290,"CENTRO DE MAYORES ""EL PARQUE"" AYUNTAMIENTO DE LAS ROZAS",424336,4489561,
2020-713,Pública,Madrid,CTRA de Canillas 51  ,28043,C.E.P. PRINCESA SOFÍA ,445309,4447946,
2018-1445,Pública,Alcalá de Henares,CALLE Sigüenza   ,28804,SERVICIOS SOCIALES ,470413,4481819,L-V 8:00 -14:00
2018-1441,Pública,Alcalá de Henares,AVDA Virgen del Val 4  ,28804,CASA DE LA JUVENTUD ,470024,4481330,L-V  9-14:00 S9.30-14:00 Y d: 17:00-20:00
2020-716,Pública,Torrejón de Ardoz,AVDA Constitución 193  ,28850,"CAMPOS DE FUTBOL JOSE Mª GUTIERREZ ""GUTI"" ESQ. HNOS PINZON - AYUNTAMIENTO TORREJÓN DE ARDOZ",462060,4479332,L-V 16.30-22.00 S y D SEGÚN PARTIDOS
