codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2018-317,Pública,San Lorenzo de El Escorial,AVDA Juan de Borbón y Battenberg  S/N  ,28200,PASILLO DE ACCESO DEL MUSEO DE PINTURA A ARQUITECTURA CONSEJO DE ADMINISTRACIÓN PATRIMONIO NACIONAL,402863,4493941,
2018-318,Pública,San Lorenzo de El Escorial,AVDA Juan de Borbón y Battenberg S/N  ,28200,ENTRADA DE LA BIBLIOTECA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL,402863,4493941,
2018-319,Pública,"Escorial, El",CTRA de M-600 (Guadarrama)   ,,"CRA.GUADARRAMA/ESCORIAL VALLE CUELGAMUROS, EN ACCESO A BIBLIOTECA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL",402150,4499559,
2018-330,Pública,Fuente el Saz de Jarama,AVDA Julián Sánchez 21 BAJA ,28140,HALL PABELLÓN. JUNTO A BOTIQUÍN AYTO. FUENTE EL SAZ DE JARAMA,456317,4497703,L A V 8-22 FESTIVOS 9-22
2018-366,Pública,Pozuelo de Alarcón,CALLE Estación 2  ,28224,BIBLIOTECA ROSALÍA DE CASTRO AYTO POZUELO DE ALARCÓN,432176,4477655,
2018-367,Pública,Pozuelo de Alarcón,CALLE CENTRO ESPACIO OCIO 9  B,,AYTO. POZUELO DE ALARCÓN,431211,4477924,
2018-368,Pública,Pozuelo de Alarcón,AVDA Juan XXIII 2  ,28224,CENTRO DE MAYORES PRADOS DE TORREJÓN AYTO. POZUELO DE ALARCÓN,431885,4477861,
2018-421,Pública,Madrid,CALLE FARO DE LA MONCLOA 2 BAJA ,,MADRID DESTINO CULTURA TURISMO Y NEGOCIO SA,438792,4476547,24H
2018-423,Pública,Madrid,PASEO de la Chopera 14  ,28045,MATADERO MADRID. CENTRAL DE INSTALACIONES. CENTRO DE CONTROL SEGURIDAD. MADRID DESTINO CULTURAL TURISMO Y NEGOCIO,440818,4471543,24H
2018-433,Pública,Madrid,CMNO de Perales 23 0 ,28041,CAJA MÁGICA ESTADIO 1 ZONA SUR-ESTE. PLANTA 0 NORTE ASCENSORES MADRID DESTINO CULTURA TURISMO Y NEGOCIOS,441820,4468852,24 H
2018-483,Pública,Alcobendas,AVDA Olímpica 14  ,28108,EDIFICIO MUNICIPAL LA ESFERA. HALL DE ENTRADA AYTO. ALCOBENDAS,446447,4487557,L A S 9.30-22.45 D -15.45
2018-494,Pública,Alcobendas,PASEO de la Chopera 59  ,28100,CENTRO CÍVICO PABLO IGLESIAS. EN VESTÍBULO PRINCIPAL AYTO. ALCOBENDAS,445435,4488254,L A V 9-21
2018-495,Pública,Alcobendas,CALLE de la Felicidad 0  ,28100,CAMPOS DE FUTBOL FUENTELUCHA. EN VESTUARIO AYTO. ALCOBENDAS,444225,4489038,COMPETICIONES
2018-497,Pública,Alcobendas,CALLE Francisco Largo Caballero 0  ,28100,CAMPOS DE FÚTBOL MARIO SUAREZ. EN LOCAL SOCIAL AYTO. ALCOBENDAS,445301,4489437,COMPETICIONES
2018-498,Pública,Alcobendas,CALLE del Nardo 101  ,28109,CAMPO DE RUGBY LAS TERRAZAS. EN VESTUARIO AYTO. ALCOBENDAS,446028,4486716,COMPETICIONES
2018-178,Pública,Alcalá de Henares,CALLE Ruperto Chapí   ,28806,PARQUE DE BOMBEROS DE ALCALÁ DE HENARES INSTALADO EN VEHÍCULO DE INTERVENCIÓN,467444,4482051,24 H
2018-179,Pública,Alcalá de Henares,CALLE Ruperto Chapí   ,28806,PARQUE DE BOMBEROS DE ALCALÁ DE HENARES INSTALADO EN VEHÍCULO DE INTERVENCIÓN,467444,4482051,24 H
2018-205,Pública,Navacerrada,CTRA de la Barranca   ,28491,PARQUE DE BOMBEROS DE NAVACERRADA INSTALADO EN VEHÍCULO DE INTERVENCIÓN,415202,4510426,24H
2018-206,Pública,Parla,CMNO de la Cantueña 12  ,,PARQUE DE BOMBEROS DE PARLA INSTALADO EN VEHÍCULO DE INTERVENCIÓN,435286,4455486,24H
2018-209,Pública,Pozuelo de Alarcón,PASEO del Río 2  ,28223,PARQUE DE BOMBEROS DE POZUELO DE ALARCÓN INSTALADO EN VEHÍCULO DE INTERVENCIÓN,431732,4474967,24H
2018-210,Pública,San Martín de Valdeiglesias,CTRA de M-501 (Alcorcón-Plasencia) KM55  ,28680,PAQUE DE BOMBEROS DE SAN MARTÍN DE VALDEIGLESIAS INSTALADO EN VEHÍCULO DE INTERVENCIÓN,383118,4468413,24H
2018-213,Pública,"Rozas de Madrid, Las",CTRA de la Coruña KM21.8  ,,SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCION,425080,4485924,24H
2018-227,Pública,Valdemoro,CALLE Gaspar Bravo de Sobremonte 3  ,28341,PARQUE DE BOMBEROS DE VALDEMORO INSTALADO EN VEHÍCULO DE INTERVENCIÓN,442970,4447320,24H
2018-262,Pública,Madrid,CALLE de Juan del Rosal 2  ,28040,JUNTO AL PUESTO DEL VIGILANTE DE SEGURIDAD CENTRO DE ESTUDIOS JURÍDICOS,438007,4478207,7-20.30
2018-192,Pública,"Escorial, El",CTRA M-505 (Madrid) km28  ,,PARQUE DE BOMBEROS DE EL ESCORIAL INSTALADO EN VEHÍCULO DE INTERVENCIÓN,404605,4492542,24H
2018-194,Pública,"Escorial, El",CTRA M-505 (Madrid) KM28  ,,PARQUE DE BOMBEROS DE EL ESCORIAL INSTALADO EN VEHÍCULO DE INTERVENCIÓN,404605,4492542,24H
2018-195,Pública,Getafe,CALLE La Cieguita de Getafe   ,28907,PARQUE DE BOMBEROS DE GETAFE INSTALADO EN VEHÍCULO DE INTERVENCIÓN,437093,4462918,24H
2018-196,Pública,Getafe,CALLE La Cieguita de Getafe 0  ,28907,PARQUE DE BOMBEROS DE GETAFE INSTALADO EN VEHÍCULO DE INTERVENCIÓN,437093,4462918,24H
2018-197,Pública,Getafe,CALLE La Cieguita de Getafe   ,28907,PARQUE DE BOMBEROS DE GETAFE INSTALADO EN VEHÍCULO DE INTERVENCIÓN,437093,4462918,24H
2018-198,Pública,"Rozas de Madrid, Las",CTRA de la Coruña KM21.8  ,,PARQUE DE BOMBEROS DE LAS ROZAS INSTALADO EN VEHÍCULO DE INTERVENCIÓN,425080,4485924,24H
2018-200,Pública,Lozoyuela-Navas-Sieteiglesias,CALLE PARQUE DE BOMBEROS DE LOZOYUELA km68  ,,INSTALADO EN VEHÍCULO DE INTERVENCIÓN,447213,4531609,
2018-202,Pública,Lozoyuela-Navas-Sieteiglesias,CALLE PARQUE DE BMBEROS DE LOZOYUELA KM68  ,,INSTALADO EN VEHÍCULO DE INTERVENCIÓN,447213,4531609,24H
2018-203,Pública,Navacerrada,CTRA de la Barranca   ,28491,PARQUE DE BOMBEROS DE NAVACERRADA INSTALADO EN VEHÍCULO DE INTERVENCIÓN,415202,4510426,24H
2018-229,Pública,Villaviciosa de Odón,CALLE Camino Pinares Llanos   ,28670,POLIGONO PINARES LLANOS. PARCELA 1.PARQUE DE BOMBEROS VILLAVICIOS DE ODÓN. INSTALADO EN VEHÍCULO DE INTERVENCIÓN,422959,4466988,24H
2018-292,Pública,Madrid,CALLE del Madre Rosa Blanco 3  ,28041,COLEGIO CIUDAD DE JAÉN VESTÍBULO,440504,4469336,9-16 DIAS LECTIVOS
2018-311,Pública,Madrid,CALLE de Bailén s/n  ,,"JUNTO A CONTROL DE SEGURIDAD DENOMINADO ""CONTROL DE CÁCERES"" CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL",439411,4474483,
2018-312,Pública,Madrid,PLAZA de la Encarnación 1  ,28013,"EN LA SALA DE ENTRADA, A LA DERECHA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL",469644,4474590,
2018-313,Pública,Madrid,PLAZA de las Descalzas S/N  ,28013,EN PASILLO DE ACCESO DEL MUSEO A LA IGLESIA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL,440094,4474430,
2018-314,Pública,Madrid,CALLE de Manuel Alonso S/N  ,28048,EN TAQUILLAS DE ACCESO AL MUSEO. JUNTO A VITRINAS CONSEJO DE ADMINISTRACIÓN PATRIMONIO NACIONAL,434195,4485837,
2018-321,Pública,Tres Cantos,CALLE de la Salvia 1  ,28760,COLEGIO ALDEBARÁN. JUNTO A VENTANILLA DE SECRETARÍA AYTO. TRES CANTOS,439791,4495013,9-17
2018-322,Pública,Tres Cantos,SECT Islas 26  ,28760,COLEGIO ANTONIO OSUNA. FRENTE A CONSERJERÍA AYTO. TRES CANTOS,440551,4493763,9-17
2018-323,Pública,Tres Cantos,PLAZA del Ayuntamiento 1  ,28760,EDIFICIO DEL AYUNTAMIENTO. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS,439765,4494499,8-22
2018-324,Pública,Tres Cantos,AVDA de los Montes 1  ,28790,BASE DE POLICÍA LOCAL. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS,439184,4495935,24H
2018-325,Pública,Tres Cantos,AVDA de los Labradores 26  ,28760,BIBLIOTECA LOPE DE VEGA. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS,440669,4494685,8-22
2018-358,Pública,Pozuelo de Alarcón,PLAZA Padre Vallet S/N  ,28223,CENTRO DE MAYORES PADRE VALLET AYTO.POZUELO DE ALARCÓN,460862,4476384,
2018-230,Pública,Villaviciosa de Odón,CALLE Camino Pinares Llanos   ,28670,POLÍGONO PINARES LLANOS. PARCELA 1. PARQUE DE BOMBEROS DE VILLAVICIOSA DE ODÓN. INSTALADO EN VEHÍCULO DE INTERVENCIÓN,422959,4466988,24H
2018-272,Pública,Rivas-Vaciamadrid,AVDA Parque de Asturias s/n BAJA ,28523,CENTRO DE MAYORES EL PARQUE. A LA ENTRADA AYTO. RIVAS VACIAMADRID,453237,4468267,10-14 V 17-18.30
2018-305,Pública,Madrid,CALLE de Atocha 106 S ,28012,INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA ,441051,4473505,9-14
2018-361,Pública,Pozuelo de Alarcón,CALLE Volturno 2  ,28223,AYTO. POZUELO DE ALARCÓN BIBLIOTECA VOLTURNO,432315,4473333,
2018-364,Pública,Pozuelo de Alarcón,CALLE San Rafael 2  ,28224,ESPACIO JOVEN CUBO AYTO. POZUELO DE ALARCÓN,432066,4477517,
2018-365,Pública,Pozuelo de Alarcón,AVDA Juan XXIII 10  ,28224,CONCEJALÍA DE FAMILIA AYTO. POZUELO DE ALARCÓN,431360,4477470,
2018-382,Pública,Madrid,CALLE de Darwin 3 BAJA ,28049,CSIC. CENTRO NACIONAL DE BIOTECNOLOGÍA.  HALL DE ENTRADA CANTOBLANCO. CAMPUS UNIVERSIDAD AUTÓNOMA,441557,4488425,24H
2018-204,Pública,Navacerrada,CTRA de la Barranca   ,28491,PARQUE DE BOMBEROS DE NAVACERRADA INSTALADO EN VEHÍCULO DE INTERVENCIÓN,415202,4510426,24H
2018-415,Pública,Madrid,CALLE del Conde Duque 9-11  ,28015,"CENTRO CULTURAL CONDE DUQUE. HALL PUERTA PRINCIPAL MADRID DESTINO CULTURA, TURISMO Y NEGOCIO SA",439724,4475437,24H
2018-417,Pública,Madrid,CALLE del Cenicero 8  ,28014,"MEDIALAB PRADO. ENTRADA PRINCIPAL MADRID DESTINO CULTURA, TURISMO Y NEGOCIO SA",441169,4473538,24H
2018-422,Pública,Madrid,PLAZA de Colón 4  ,28046,"TEATRO FERNÁN GOMEZ, CENTRO CULTURAL DE LA VILLA. VESTÍBULO SALA DE EXPOSICIONES. MADRID DESTINO CULTURA TURISMO Y NEGOCIO SA",441492,4475163,
2018-426,Pública,Villarejo de Salvanés,CALLE del Viso 15  ,28590,VESTÍBULO DE ENTRADA PRINCIPAL DEL COLEGIO CEIP NUESTRA SEÑORA DE LAS VICTORIAS,475965,4446390,
2018-437,Pública,Madrid,CALLE de Alcalá 47 BAJA ,28014,ENTRADA PRINCIPAL COMISIÓN NACIONAL DE MERCADOS Y COMPETENCIA,440979,4474519,7-22
2018-439,Pública,Madrid,CALLE del Marqués de la Ensenada 8 BAKA ,28004,CONSEJO GENERAL DEL PODER JUDICIAL ,441224,4475066,
2018-440,Pública,Madrid,CALLE de Trafalgar 27 3ª ,28010,CONSEJO GENERAL DEL PODER JUDICIAL ,440493,4476120,
2018-442,Pública,Madrid,CALLE de Barquillo 5 BAJA ,28004,ENTRADA PRINCIPAL COMISIÓN NACIONAL DE MERCADOS Y LA COMPETENCIA,440979,4474543,7-22
2018-267,Pública,Rivas-Vaciamadrid,CALLE CASA DE LAS ASOCIACIONES. EN EL VESTÍBULO AL LADO DE CONSERJERIA s/n BAJA ,,AYTO. RIVASA VACIAMADRID,453269,4468863,L-V 10-15 Y 16-20
2018-268,Pública,Rivas-Vaciamadrid,CALLE de la Fundición 1 BAJA ,28523,NAVE MUNICIPAL. EN LA ANTIGUA SALA DE ENCARGADO AYTO. RIVAS VACIAMADRID,453798,4467361,L A V 7.30-14.30
2018-310,Pública,Madrid,CALLE de Bailén s/n  ,,"EN EL ACCESO AL PALACIO REAL DENOMINADO ""ARCO DE SANTIAGO"" CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL",439411,4474483,
2018-326,Pública,Tres Cantos,AVDA de la Vega   ,28760,CAMPO DE FÚTBOL FORESTA B. EN SALA DE BOTIQUÍN AYTO. TRES CANTOS,440360,4495958,FINES DE SEMANA
2018-327,Pública,Tres Cantos,AVDA de los Labradores 13  ,28760,COLEGIO CARMEN IGLESIAS. FRENTE A CONSERJERÍA AYTO. TRES CANTOS,440237,4494696,
2018-328,Pública,Tres Cantos,PLAZA del Ayuntamiento   ,28760,CENTRO CULTURAL ADOLFO SUAREZ. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS,439826,4494505,8-22
2018-329,Pública,Tres Cantos,AVDA de los Labradores 24  ,28760,CENTRO MUNCIPAL DE MAYORES. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS,440294,4494591,8-22
2018-409,Pública,Madrid,CALLE Mayor 27  ,28013,"CENTRO DE TURISMO. CASA DE LA PANADERÍA. SALA DE INFORMACIÓN (PARED FRONTAL) MADRID DESTINO CULTURA, TURISMO Y NEGOCIO SA",439983,4474151,24 H
2018-411,Pública,Madrid,PLAZA de Cibeles 1 2ª ,28014,"PALACIO CIBELES, DESA 3. ENRATA MONTALBAN 1 DERECHA. EN PASILLO CIB ESCALERA S. MADRID DESTINO CULTURA, TURISMO Y NEGOCIO SA",441281,4474489,24 H
2018-412,Pública,Madrid,PLAZA de Cibeles 1 5ª ,28014,"PALACIO CIBELES DESA 2. ZONA ESTUDIO Y DESCANSO MADRID DESTINO CULTURA, TURISMO Y NEGOCIO SA",441281,4474489,24H
2018-413,Pública,Madrid,PLAZA de Cibeles 1 4ª ,28014,"PALACIO CIBELES, DESA 4. ENTRADA MONTALBAN 1, DCHA.DISTRIBUIDOR FRENTE ASCENSORES. MADRID DESTINO CULTURA, TURISMO Y NEGOCIO SA",441281,4474489,24H
2018-449,Pública,Leganés,AVDA Universidad 30 BAJA ,28911,EDIF. 5 AUDITORIA. FRENTE A PUERTA DE ENTRADA UNIVERSIDAD CARLOS III DE MADRID,434849,4464869,8-21
2018-475,Pública,Alcobendas,AVDA de la Magia 4  ,28100,ESPACIO MIGUEL DELIBES. UNI POPULAR DE ALCOBENDAS. PUNTO DE INFORMACIÓN.AYTO. ALCOBENDAS,444346,4489174,L A V 10-22
2018-477,Pública,Alcobendas,AVDA de Miguel de Cervantes 4  ,28100,CIUDAD DEPORTIVA VALDELASFUENTES. SERVICIO DE MEDICINA DEPORTIVA AYTO. ALCOBENDAS,445070,4489131,L A D 8-30-22.30
2018-478,Pública,Alcobendas,CALLE del Olivar 5 0 ,28100,CENTRO DE MAYORES CARMEN GARCIA BLOISE. ESCALERA DE ACCESO A LA PLANTA SÓTANO. AYTO. ALCOBENDAS,445118,4488702,L A D 9.30-20
2018-484,Pública,Alcobendas,CALLE de la Libertad 9  ,28100,"PATRONATO DE BIENESTAR SOCIAL. ENTRADA, DESPACHO DE SINDICATO AYTO. ALCOBENDAS",446260,4487938,L A V 9-14
2018-485,Pública,Alcobendas,CALLE de Mariano Sebastián Izuel 9  ,28100,CENTRO DE ARTE CIUDAD DE ALCOBENDAS.MOSTRADOR DE INFORMACIÓN A LA ENTRADA. AYTO. ALCOBENDAS,446602,4487986,10-21
2018-486,Pública,Alcobendas,CALLE de la Libertad 6 2ª ,28100,PATRONATO DE BIENESTAR SOCIAL. EN ALMACÉN SALUD AYTO. ALCOBENDAS,446260,4487938,9-14
2018-487,Pública,Alcobendas,CALLE de Blas de Otero 4  ,28100,TEATRO AUDITORIO CIUDAD DE ALCOBENDAS. HALL DE ENTRADA AYTO. ALCOBENDAS,445572,4488793,SEGÚN CARTELERA
2018-488,Pública,Alcobendas,CALLE de Daoíz 11  ,28100,CENTRO DE MAYORES MARÍA ZAMBRANO. MUEBLE METÁLICO DEL FONDO DEL SALÓN. AYTO. ALCOBENDAS,445623,4488276,L A V 9.30 A 20
2018-489,Pública,Alcobendas,CALLE de Orense 7  ,28100,CENTRO DE MAYORES PEDRO GONZÁLEZ GUERRA. PUNTO DE INFORMACIÓN A LA ENTRADA A LA DERECHA. AYTO. ALCOBENDAS,446085,4488108,L A V 9.30-20
2018-490,Pública,Alcobendas,CALLE de Salamanca 39  ,28100,CENTRO DE MAYORES RAMÓN RUBIAL AYTO. ALCOBENDAS,446600,4488029,L A V 9.30-20
2018-492,Pública,Alcobendas,PLAZA Mayor 1  ,28100,EN HALL DE ENTRADA AYUNTAMIENTO DE ALCOBENDAS,445675,4488713,
2018-544,Pública,Valdeolmos-Alalpardo,CALLE de Alcalá (Alalpardo) 4 BAJA ,28130,EN EL HALL DE ENTRADA AYUNTAMIENTO VALDEOLMOS -ALALPARDO,459835,4497658,
2018-545,Pública,Valdeolmos-Alalpardo,CALLE de Alcalá (Alalpardo) 25  ,28130,EN VESTURIOS DEL CAMPO DE FÚTBOL DE ALALPARDO AYTO. VALDEOLMOS ALALPARDO,460066,4497363,
2018-555,Pública,San Lorenzo de El Escorial,CALLE Vista Bella 5  ,28200,"CENTRO CULTURAL, BIBLIOTECA Y ESCUELA DE MÚSICA. SALA LECTURA BIB AYTO. SAN LORENZO DEL ESCORIAL",403858,4494691,9-20
2018-558,Pública,San Lorenzo de El Escorial,CALLE CAMPO DE FÚTBOL LA HERRERÍA. BOTIQUÍN EDIFICIO SERVICIOS   ,,AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,401935,4493180,TARDES. ENTRENAMIENTOS Y COMPETICIONES
2018-561,Pública,San Lorenzo de El Escorial,PLAZA de la Constitución 3  ,28200,DISPOSITIVO MOVIL EN VEHÍCULO PATRULLA POLICÍA LOCAL AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,402780,4494039,24 H
2018-563,Pública,San Lorenzo de El Escorial,CALLE Floridablanca 3 BAJA ,28200,CASA DE LA CULTURA. DESPACHO SECRETARÍA AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,402930,4493951,L A V 10-14 Y 17-20
2018-564,Pública,San Lorenzo de El Escorial,CALLE Juan de Toledo 27 2ª ,28200,CENTRO ACTIVIDADES SOCIALES Y MUJER. EN EL HALL DE ENTRADA AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,403630,4494565,9-15 Y 17-20
2018-587,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 LLEGADAS PASILLO TRÁNSITO FILTRO A/B AENA SME SA.,451534,4479851,24 H
2018-588,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 LLEGADAS SALA 1 FRENTE CINTA A 6 ADUANA AENA SME SA,451534,4479851,24 H
2018-589,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 LLEGADAS PASILLO TRÁNSITO ESCALERA AENA SME SA,451534,4479851,24 H
2018-590,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 VESTÍBULO LLEGADAS CCVV (FRENTE ARS entre pto encuentro e inf. AENA SME SA,451534,4479851,24 H
2018-602,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T1 EMBARQUE C34/37 AENA SME SA,451534,4479851,24H
2018-603,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T1 FACTURACIÓN MOSTRADOR 345 - COMISARÍA AENA SME SA,451534,4479851,24 H
2018-625,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 PABELLÓN DE ESTADO AENA SME SA,449721,4482599,24H
2018-626,Pública,Madrid,AVDA de la Hispanidad S(N  ,28042,T4 SALA DE AUTORIDADES AENA SME SA,449721,4482599,24H
2018-627,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 LLEGADAS ZONA PUBLICA CERCA SERVICIO MÉDICO AENA SME SA,449721,4482599,24H
2018-629,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 LLEGADAS SALA 11 AENA SME SA,449721,4482599,24H
2018-640,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 FACTURACIÓN FRENTE FILTROS AENA SME SA,449721,4482599,24H
2018-641,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 FACTURACIÓN T4 FRENTE CAFETERÍA MEDAS AENA SME SA,449721,4482599,24H
2018-664,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,CLASA HALL DE ACCESO PRINCIPAL AENA SME SA,451534,4479851,24H
2018-680,Pública,Villaviciosa de Odón,PASEO Monte de la Villa 0  ,28670,EN LA SALA DE CURAS AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,420295,4469181,24H
2018-682,Pública,Alcorcón,AVDA EN SALA DE CURAS. JUNTO MÓDULO D 2 1ª ,28922,AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,428504,4465907,24H
2018-683,Pública,Collado Villalba,CALLE Morales Antuñano 9 BAJA ,28400,EN CONTROL AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,414647,4497980,9-20
2018-703,Pública,Alcalá de Henares,CALLE Villamalea 1 1ª ,28805,RESIDENCIA FRANCISCO DE VITORIA. SALA DE URGENCIAS AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,469701,4484173,24H
2018-704,Pública,Madrid,CALLE del General Ricardos 177 BAJA ,28025,EN SALA DE CURAS. ULTIMO PASILLO AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,437495,4470771,24H
2018-543,Pública,Pozuelo de Alarcón,CALLE Diego de Velázquez 5 BAJA PPAL,28223,CEIP LOS ÁNGELES ,433073,4472457,
2018-554,Pública,San Lorenzo de El Escorial,CALLE del Rey 43 1ª ,28200,COLEGIO INFANTIL Y PRIMARIA SAN LORENZO. EN DESPACHO SECRETARÍA AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,403117,4493991,9-15 DIAS LECTIVOS
2018-591,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 LLEGADAS SALA 2 FRENTE CINTA 10 AENA SME SA,451534,4479851,24 H
2018-592,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 DIQUE SUR PASILLO TRÁNSITO PLANTA 1 A3/4 AENA SME SA,451434,4479851,24 H
2018-593,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 DIQUE SUR A3/4 AENA SME SA,451534,4479851,24 H
2018-594,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 DIQUE SUR PASILLO TRÁNSITO PLANTA 1 A7/8 AENA SME SA,451534,4479851,24 H
2018-595,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 DIQUE SUR A7/8 AENA SME SA,451534,4479851,24H
2018-596,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 INICIO PASILLO DIQUE SUR AENA SME SA,451534,4479851,24 H
2018-597,Pública,Madrid,AVDA de la Hispanidad   ,28042,TI INICIO PASILLO DIQUE SUR AENA SME SA,451534,4479851,24 H
2018-598,Pública,Madrid,AVDA de la Hispanidad   ,28042,T1 EMBARQUE (CAFETERÍA ARS T1 SUR) AENA SME SA,451534,4479851,24 H
2018-615,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T2 EMBARQUE D56 AENA SME SA,451534,4479851,24H
2018-616,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T2 FILTRO T2 NORTE AENA SME SA,451534,4479851,24H
2018-617,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T2 EMBARQUE D62/63 AENA SME SA,451534,4479851,24H
2018-618,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T2 FINAL PASILLO METRO T3 AENA SME SA,451534,4479851,24 H
2018-619,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T2 FACTURACIÓN - CCVV AENA SME SA,451534,4479851,24H
2018-624,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 APM VIAL SUR AENA SME SA,449721,4482599,24H
2018-630,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 LLEGADAS ZONA PÚBLICA CERCA OFICINAS CORREOS / RENFE AENA SME SA,449721,4482599,24 H
2018-631,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 EMBARQUE K82 AENA SME SA,449721,4482599,
2018-632,Pública,Madrid,AVDA de la Hispanidad S/N  ,28042,T4 EMBARQUE CERCA MANGO AENA SME SA,449721,4482599,24 H
2018-663,Pública,Madrid,AVDA de la Hispanidad   ,28042,"T4S PLANTA 2 ALTURA PUERTA S46, ¡JUNTO S49 AENA SME SA",449721,4482599,24H
2018-669,Pública,Alcorcón,AVDA de Pablo Iglesias 3  ,28922,EN EL HALL DE ENTRADA DEL EDIFICIO A I.E.S. PRADO DE SANTO DOMINGO,428585,4465883,
2018-675,Pública,Alcorcón,AVDA Lisboa 0  ,,EN EL PUESTO DE CONTROL DE RECEPCIÓN AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,460553,4466771,9-20
2018-676,Pública,Getafe,AVDA de las Ciudades 31  ,28903,EN EL PUESTO DE CONTROL AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,439260,4462828,9-20
2018-705,Pública,Madrid,CALLE de los Embajadores 32  ,28012,EN RECEPCIÓN AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,440141,4473391,
2018-706,Pública,Casarrubuelos,CMNO de Torrejón de Velasco 3  ,28977,CAMPO DE FUTBOL AYUNTAMIENTO DE CASARRUBUELOS,429417,4447231,
2018-719,Pública,Parla,PASEO de la República Dominicana 11  ,28983,EN LA ENTRADA POR LA PUERTA AMARILLA CEIP ROSA MONTERO,436043,4453805,9-15
2018-720,Pública,Madrid,AVDA de Daroca 60 BAJA ,28017,HALL ENTRADA. EN PUESTO DE CONTROL JUNTO A MEGAFONIA AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,444645,4475598,24H
2018-722,Pública,Madrid,CALLE de Alonso Cano 18  ,28003,A LA ENTRADA DEL CENTRO. EN RECEPCIÓN/CONTROL AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,440840,4476710,9-20
2018-814,Pública,Madrid,CALLE de Benamejí 102 BAJA ,28053,EN SALÓLN PRINCIPAL FRENTE A MOSTRADOR DE VIGILANCIA AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,443365,4470022,9-20
2018-538,Pública,Aranjuez,CALLE Zorzales 11  ,28300,CPEE PRÍNCIPE DE ASTURIAS EN EL DESPACHO DE ENFERMERÍA,447881,4431229,
